kod,obor,zneni,charakteristika,popis,zkratka,umap_x,umap_y
JJK-CJL-001-ZV5-002,Český jazyk a literatura,Využívá znalosti o slovní zásobě a způsobech jejího rozšiřování v komunikaci a při práci s textem.,"Přečte přiměřeně dlouhý text a rozumí mu.  Používá vhodná a významově správná slova v daném kontextu.  Odhaduje význam slov, svoji odpověď ověří ve slovníku.","Využívá znalosti o slovní zásobě a způsobech jejího rozšiřování v komunikaci a při práci s textem. Přečte přiměřeně dlouhý text a rozumí mu.  Používá vhodná a významově správná slova v daném kontextu.  Odhaduje význam slov, svoji odpověď ověří ve slovníku.",CJL,-3.6475601,13.9265375
JJK-CJL-001-ZV5-005,Český jazyk a literatura,Čte s porozuměním přiměřeně náročné texty včetně textů elektronických.,"Přečte přiměřeně rozsáhlý text i v elektronické podobě. Vyhledá přímo vyjádřenou informaci v tištěných i elektronických zdrojích. Vyhledá část textu, která obsahuje požadovanou informaci. Položí otázku, která mu pomůže pochopit obsah sdělení. Propojí informace ze dvou textů (ze dvou částí jednoho textu) a vyvodí závěr. Ověřuje si informace ve více zdrojích.","Čte s porozuměním přiměřeně náročné texty včetně textů elektronických. Přečte přiměřeně rozsáhlý text i v elektronické podobě. Vyhledá přímo vyjádřenou informaci v tištěných i elektronických zdrojích. Vyhledá část textu, která obsahuje požadovanou informaci. Položí otázku, která mu pomůže pochopit obsah sdělení. Propojí informace ze dvou textů (ze dvou částí jednoho textu) a vyvodí závěr. Ověřuje si informace ve více zdrojích.",CJL,-6.32359,16.638863
JJK-CJL-001-ZV5-006,Český jazyk a literatura,Rozpozná manipulaci v komunikaci a dokáže reagovat přiměřeně svému věku.,"Kriticky posoudí informace nebo myšlenky obsažené v textu nebo v jiném sdělení. Ptá se na důvěryhodnost zdroje, odkud konkrétní informace pochází. Uvede příklad situace, kdy se setkal s manipulací. Vytvoří plakát, mediální reklamu, která má zákazníky přivést k nákupu jeho produktu.","Rozpozná manipulaci v komunikaci a dokáže reagovat přiměřeně svému věku. Kriticky posoudí informace nebo myšlenky obsažené v textu nebo v jiném sdělení. Ptá se na důvěryhodnost zdroje, odkud konkrétní informace pochází. Uvede příklad situace, kdy se setkal s manipulací. Vytvoří plakát, mediální reklamu, která má zákazníky přivést k nákupu jeho produktu.",CJL,7.6449122,17.40323
JJK-CJL-001-ZV5-008,Český jazyk a literatura,Vyjadřuje svoje prožitky ze čtení nebo poslechu uměleckého textu.,"Vybere si literární text podle svého zájmu nebo potřeby. Na základě vlastní čtenářské zkušenosti odliší základní literární žánry – poezie, próza (pohádka, povídka, bajka, pověst). Formuluje svůj čtenářský prožitek z uměleckého díla a doloží ho citací z textu. Formuluje své prožitky z poslechu uměleckého díla.","Vyjadřuje svoje prožitky ze čtení nebo poslechu uměleckého textu. Vybere si literární text podle svého zájmu nebo potřeby. Na základě vlastní čtenářské zkušenosti odliší základní literární žánry – poezie, próza (pohádka, povídka, bajka, pověst). Formuluje svůj čtenářský prožitek z uměleckého díla a doloží ho citací z textu. Formuluje své prožitky z poslechu uměleckého díla.",CJL,4.6987114,17.751997
JJK-CJL-001-ZV5-001,Český jazyk a literatura,V mluvené komunikaci používá osvojené jazykové prostředky vzhledem ke svému komunikačnímu záměru a dané komunikační situaci.,"Mluví v přiměřeném tempu, se správnou intonací, větným přízvukem, dynamikou a melodií. Vhodně užívá slovní tvary. Tvoří souvislé větné celky. Vhodně použije slova citově zabarvená a neutrální. Používá spisovnou nebo nespisovnou podobu jazyka podle komunikačního partnera. Dodržuje pravidla pro vedení dialogu – vhodně zahájí a ukončí rozhovor.","V mluvené komunikaci používá osvojené jazykové prostředky vzhledem ke svému komunikačnímu záměru a dané komunikační situaci. Mluví v přiměřeném tempu, se správnou intonací, větným přízvukem, dynamikou a melodií. Vhodně užívá slovní tvary. Tvoří souvislé větné celky. Vhodně použije slova citově zabarvená a neutrální. Používá spisovnou nebo nespisovnou podobu jazyka podle komunikačního partnera. Dodržuje pravidla pro vedení dialogu – vhodně zahájí a ukončí rozhovor.",CJL,7.243763,23.979239
JJK-CJL-001-ZV5-009,Český jazyk a literatura,Tvořivě pracuje s uměleckým textem.,"Vytvoří literární text na základě přečteného, podle zadaných kritérií nebo podle vlastního výběru. Ztvární literární text pomocí umělecké formy, kterou si sám zvolí.","Tvořivě pracuje s uměleckým textem. Vytvoří literární text na základě přečteného, podle zadaných kritérií nebo podle vlastního výběru. Ztvární literární text pomocí umělecké formy, kterou si sám zvolí.",CJL,4.596992,17.852783
JJK-CJL-001-ZV5-004,Český jazyk a literatura,Posoudí výpověď v konkrétní situaci a adekvátně reaguje.,"Reaguje v modelové situaci na konkrétní vyjádření. Zhodnotí, zda byla reakce vhodná. Navrhne jinou reakci a svůj návrh zdůvodní. Pojmenuje komunikační záměr mluvčího.","Posoudí výpověď v konkrétní situaci a adekvátně reaguje. Reaguje v modelové situaci na konkrétní vyjádření. Zhodnotí, zda byla reakce vhodná. Navrhne jinou reakci a svůj návrh zdůvodní. Pojmenuje komunikační záměr mluvčího.",CJL,3.82132,20.970617
JJK-CJL-001-ZV5-007,Český jazyk a literatura,Experimentuje s jazyky a buduje si vztah k učení se jazykům.,"Odhaduje význam běžně používaných slov cizího původu. Uvede příklad podobnosti některých jazyků s češtinou.  Uvede příklad podobně nebo stejně znějících slov, která mají v češtině odlišný význam. Vyjádří svůj vztah k učení se cizím jazykům a zdůvodní ho.","Experimentuje s jazyky a buduje si vztah k učení se jazykům. Odhaduje význam běžně používaných slov cizího původu. Uvede příklad podobnosti některých jazyků s češtinou.  Uvede příklad podobně nebo stejně znějících slov, která mají v češtině odlišný význam. Vyjádří svůj vztah k učení se cizím jazykům a zdůvodní ho.",CJL,-1.474274,9.708363
JJK-CJL-001-ZV5-003,Český jazyk a literatura,Vytváří vlastní písemná sdělení s využitím osvojených mluvnických a pravopisných pravidel a znalosti vybraných slohových útvarů.,"Při psaní vlastního textu využívá osvojená pravopisná pravidla. Dokáže ověřit pravopis v pravidlech českého pravopisu nebo v internetové jazykové příručce. Rozpozná větu jednoduchou a souvětí a zdůvodní základní případy užití interpunkčních znamének. Spojí věty jednoduché do souvětí a vhodně obmění strukturu textu s ohledem na svůj komunikační záměr. Napíše vypravování, pozvánku, popis, dopis, oznámení, zprávu, blahopřání, vyplní dotazník i v digitální podobě.","Vytváří vlastní písemná sdělení s využitím osvojených mluvnických a pravopisných pravidel a znalosti vybraných slohových útvarů. Při psaní vlastního textu využívá osvojená pravopisná pravidla. Dokáže ověřit pravopis v pravidlech českého pravopisu nebo v internetové jazykové příručce. Rozpozná větu jednoduchou a souvětí a zdůvodní základní případy užití interpunkčních znamének. Spojí věty jednoduché do souvětí a vhodně obmění strukturu textu s ohledem na svůj komunikační záměr. Napíše vypravování, pozvánku, popis, dopis, oznámení, zprávu, blahopřání, vyplní dotazník i v digitální podobě.",CJL,-3.3133807,14.263102
JJK-CJL-001-ZV9-007,Český jazyk a literatura,Zhodnotí aktuální úroveň svých jazykových a komunikačních znalostí a dovedností s ohledem na své další jazykové vzdělávání.,"Zhodnotí nároky společnosti na jazykovou vybavenost jednotlivce (uplatnitelnost na trhu práce a požadavky ze strany zaměstnavatelů, jazykové zkoušky a Evropské jazykové portfolio).  Uvědomuje si, že jazykové a komunikační znalosti a dovednosti mohou ovlivnit jeho budoucí profesi. Vnímá, že jazyk hraje důležitou roli při prezentaci sebe sama a při vytváření vztahů (v mluveném i psaném projevu). Využívá své jazykové a komunikační znalosti a dovednosti v každodenním životě (elektronická komunikace, diskuse, prezentace). S využitím sebehodnocení a zpětné vazby navrhne následné kroky ke zlepšení dílčích výsledků učení. Pracuje s mateřským jazykem pravidelně a navrhuje, jakým způsobem lze dále rozvíjet nabyté jazykové schopnosti.","Zhodnotí aktuální úroveň svých jazykových a komunikačních znalostí a dovedností s ohledem na své další jazykové vzdělávání. Zhodnotí nároky společnosti na jazykovou vybavenost jednotlivce (uplatnitelnost na trhu práce a požadavky ze strany zaměstnavatelů, jazykové zkoušky a Evropské jazykové portfolio).  Uvědomuje si, že jazykové a komunikační znalosti a dovednosti mohou ovlivnit jeho budoucí profesi. Vnímá, že jazyk hraje důležitou roli při prezentaci sebe sama a při vytváření vztahů (v mluveném i psaném projevu). Využívá své jazykové a komunikační znalosti a dovednosti v každodenním životě (elektronická komunikace, diskuse, prezentace). S využitím sebehodnocení a zpětné vazby navrhne následné kroky ke zlepšení dílčích výsledků učení. Pracuje s mateřským jazykem pravidelně a navrhuje, jakým způsobem lze dále rozvíjet nabyté jazykové schopnosti.",CJL,7.4513593,24.185001
